                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.34129,                0.31716,                0.83567,                0.99909,                      1,                  0.995,                0.99001,                0.20918,                0.24177,                0.81077,              0.0095248,              0.0095248,              0.0095248
                     50,                0.34155,                0.30344,                0.81589,                0.99909,                      1,                  0.995,                0.99191,                0.20979,                0.22206,                0.81078,              0.0095149,              0.0095149,              0.0095149
                     51,                0.32509,                0.30302,                0.82253,                0.99909,                      1,                  0.995,                0.98831,                0.19982,                0.21391,                0.80735,               0.009505,               0.009505,               0.009505
                     52,                0.33543,                0.31106,                0.82725,                 0.9991,                      1,                  0.995,                0.99175,                0.22235,                0.22238,                0.81135,              0.0094951,              0.0094951,              0.0094951
                     53,                0.35988,                0.33578,                 0.8378,                0.99909,                      1,                  0.995,                0.97165,                0.20774,                0.22518,                0.81814,              0.0094852,              0.0094852,              0.0094852
                     54,                0.36595,                 0.3233,                0.82988,                 0.9991,                      1,                  0.995,                0.99411,                0.18385,                0.20866,                0.80724,              0.0094753,              0.0094753,              0.0094753
                     55,                0.34596,                 0.3074,                0.83345,                0.99908,                      1,                  0.995,                0.99145,                0.19529,                0.22504,                  0.805,              0.0094654,              0.0094654,              0.0094654
                     56,                0.31283,                 0.2938,                0.83607,                0.99911,                      1,                  0.995,                0.99187,                0.20716,                0.22792,                0.81081,              0.0094555,              0.0094555,              0.0094555
                     57,                0.32246,                0.30128,                0.85014,                0.99912,                      1,                  0.995,                0.98027,                0.22398,                0.21615,                0.81084,              0.0094456,              0.0094456,              0.0094456
                     58,                0.32943,                0.31187,                0.83963,                0.99912,                      1,                  0.995,                  0.995,                0.19002,                0.20624,                0.80385,              0.0094357,              0.0094357,              0.0094357
                     59,                0.32819,                0.30138,                0.81667,                0.99906,                      1,                  0.995,                0.99451,                 0.1987,                0.21854,                0.80898,              0.0094258,              0.0094258,              0.0094258
                     60,                0.31138,                0.29462,                0.81057,                 0.9991,                      1,                  0.995,                0.99407,                0.18801,                0.20757,                0.80554,              0.0094159,              0.0094159,              0.0094159
                     61,                0.30821,                0.27493,                0.80952,                0.99912,                      1,                  0.995,                0.99426,                0.21372,                0.23597,                0.81029,               0.009406,               0.009406,               0.009406
                     62,                0.33218,                0.31714,                0.82619,                0.99918,                      1,                  0.995,                  0.995,                0.17318,                 0.2218,                0.80184,              0.0093961,              0.0093961,              0.0093961
                     63,                0.31493,                0.29519,                 0.8181,                0.99915,                      1,                  0.995,                  0.995,                0.18231,                0.19897,                0.80505,              0.0093862,              0.0093862,              0.0093862
                     64,                0.32497,                0.29288,                0.82923,                0.99904,                      1,                  0.995,                 0.9929,                0.19066,                0.20695,                 0.8037,              0.0093763,              0.0093763,              0.0093763
                     65,                0.30771,                0.28986,                0.80709,                0.99915,                      1,                  0.995,                 0.9876,                0.21113,                0.22295,                0.81418,              0.0093664,              0.0093664,              0.0093664
                     66,                0.32077,                 0.2973,                0.82784,                0.99898,                      1,                  0.995,                0.99161,                0.19709,                0.24099,                0.81013,              0.0093565,              0.0093565,              0.0093565
                     67,                0.30024,                0.28193,                0.83506,                0.99913,                      1,                  0.995,                  0.995,                0.18914,                0.18623,                0.81058,              0.0093466,              0.0093466,              0.0093466
                     68,                0.32285,                0.28689,                0.82103,                0.99909,                      1,                  0.995,                 0.9878,                0.21572,                0.21353,                0.81132,              0.0093367,              0.0093367,              0.0093367
                     69,                0.33174,                0.28076,                0.82041,                0.99914,                      1,                  0.995,                0.99385,                0.16885,                0.19392,                0.80022,              0.0093268,              0.0093268,              0.0093268
                     70,                0.31193,                0.28103,                0.84459,                0.99907,                      1,                  0.995,                0.98982,                0.21696,                0.23449,                0.81028,              0.0093169,              0.0093169,              0.0093169
                     71,                0.31719,                0.30261,                0.83354,                0.99905,                      1,                  0.995,                  0.995,                0.16471,                0.18394,                0.80477,               0.009307,               0.009307,               0.009307
                     72,                0.30506,                0.27799,                0.82534,                0.99907,                      1,                  0.995,                  0.995,                0.16897,                0.18375,                0.80337,              0.0092971,              0.0092971,              0.0092971
                     73,                0.30583,                 0.2817,                0.80997,                0.99911,                      1,                  0.995,                  0.995,                0.16207,                0.17278,                0.80408,              0.0092872,              0.0092872,              0.0092872
                     74,                0.30846,                0.27271,                0.81672,                0.99912,                      1,                  0.995,                0.99426,                0.17673,                0.17508,                0.80489,              0.0092773,              0.0092773,              0.0092773
                     75,                0.30574,                0.26379,                0.83334,                0.99889,                      1,                  0.995,                 0.9944,                0.20138,                0.19861,                0.81095,              0.0092674,              0.0092674,              0.0092674
                     76,                0.30566,                0.27881,                0.82274,                0.99909,                      1,                  0.995,                  0.995,                 0.1708,                0.18911,                0.80275,              0.0092575,              0.0092575,              0.0092575
                     77,                0.30317,                 0.2714,                0.83508,                0.99913,                      1,                  0.995,                  0.995,                0.18879,                0.20635,                0.80674,              0.0092476,              0.0092476,              0.0092476
                     78,                 0.3076,                0.27441,                0.81686,                0.99912,                      1,                  0.995,                0.99259,                 0.1666,                0.18267,                 0.8042,              0.0092377,              0.0092377,              0.0092377
                     79,                0.28514,                0.26127,                0.80719,                0.99908,                      1,                  0.995,                0.99393,                0.17302,                0.17653,                0.80557,              0.0092278,              0.0092278,              0.0092278
                     80,                 0.2945,                0.26537,                0.82611,                0.99909,                      1,                  0.995,                0.99379,                0.18912,                0.18576,                0.80765,              0.0092179,              0.0092179,              0.0092179
                     81,                0.28413,                0.26717,                0.82134,                0.99909,                      1,                  0.995,                  0.995,                0.18086,                0.18854,                0.80515,               0.009208,               0.009208,               0.009208
                     82,                0.28264,                0.26305,                0.81559,                0.99911,                      1,                  0.995,                0.99326,                  0.182,                0.17343,                0.80535,              0.0091981,              0.0091981,              0.0091981
                     83,                0.30017,                0.26897,                0.79967,                0.99911,                      1,                  0.995,                  0.995,                0.17075,                0.17195,                0.80366,              0.0091882,              0.0091882,              0.0091882
                     84,                0.28045,                0.25587,                0.82627,                 0.9991,                      1,                  0.995,                  0.995,                0.16815,                0.17275,                0.80239,              0.0091783,              0.0091783,              0.0091783
                     85,                0.28557,                0.25754,                0.82206,                0.99911,                      1,                  0.995,                0.99344,                0.17328,                0.16454,                0.80143,              0.0091684,              0.0091684,              0.0091684
                     86,                0.29382,                0.25387,                 0.8317,                0.99912,                      1,                  0.995,                0.99289,                0.18052,                0.17146,                0.80244,              0.0091585,              0.0091585,              0.0091585
                     87,                0.28159,                0.24683,                0.78551,                0.99911,                      1,                  0.995,                  0.995,                0.17811,                0.16295,                0.80139,              0.0091486,              0.0091486,              0.0091486
                     88,                0.27877,                0.24044,                0.79813,                 0.9991,                      1,                  0.995,                  0.995,                 0.1632,                0.17829,                 0.7979,              0.0091387,              0.0091387,              0.0091387
                     89,                0.30367,                0.26661,                0.81591,                0.99913,                      1,                  0.995,                  0.995,                0.17254,                0.18289,                 0.7997,              0.0091288,              0.0091288,              0.0091288
