epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,7735.77,0.05915,0.06027,0.75722,0.99995,1,0.995,0.995,0.03518,0.03754,0.75121,0.00706335,0.00706335,0.00706335
112,7803.36,0.06277,0.06541,0.75651,0.99996,1,0.995,0.995,0.03638,0.03827,0.75119,0.00701588,0.00701588,0.00701588
113,7871.17,0.06354,0.06733,0.75863,0.99991,1,0.995,0.995,0.03835,0.04177,0.75135,0.0069682,0.0069682,0.0069682
114,7938.8,0.06113,0.06512,0.75896,0.99995,1,0.995,0.995,0.03298,0.03859,0.75112,0.00692031,0.00692031,0.00692031
115,8006.64,0.05921,0.06276,0.75224,0.99995,1,0.995,0.995,0.03301,0.03832,0.75096,0.00687222,0.00687222,0.00687222
116,8074.54,0.05751,0.05957,0.75686,0.99991,1,0.995,0.995,0.0315,0.03601,0.75081,0.00682392,0.00682392,0.00682392
117,8141.98,0.05916,0.06107,0.75623,0.99991,1,0.995,0.995,0.03364,0.03764,0.75093,0.00677543,0.00677543,0.00677543
118,8209.71,0.05613,0.05939,0.75717,0.99996,1,0.995,0.995,0.03151,0.03562,0.75079,0.00672675,0.00672675,0.00672675
119,8277.46,0.05555,0.05959,0.7549,0.99996,1,0.995,0.995,0.03048,0.03475,0.75075,0.00667789,0.00667789,0.00667789
120,8345.16,0.05885,0.06068,0.75675,0.99996,1,0.995,0.995,0.03454,0.03691,0.75101,0.00662885,0.00662885,0.00662885
121,8412.82,0.05997,0.06262,0.75505,0.99995,1,0.995,0.995,0.03252,0.03731,0.75104,0.00657963,0.00657963,0.00657963
122,8480.53,0.05741,0.06186,0.75693,0.99995,1,0.995,0.995,0.03034,0.03624,0.75109,0.00653025,0.00653025,0.00653025
123,8547.91,0.05735,0.05984,0.75568,0.99995,1,0.995,0.995,0.03159,0.03573,0.75105,0.00648071,0.00648071,0.00648071
124,8615.75,0.06624,0.06902,0.75512,0.99991,1,0.995,0.995,0.0349,0.03917,0.75116,0.00643101,0.00643101,0.00643101
125,8683.83,0.06361,0.06725,0.75892,0.99991,1,0.995,0.995,0.03538,0.03929,0.75116,0.00638115,0.00638115,0.00638115
126,8751.07,0.06065,0.06523,0.75604,0.99995,1,0.995,0.995,0.03463,0.03947,0.75106,0.00633115,0.00633115,0.00633115
127,8818.67,0.055,0.05992,0.75479,0.99995,1,0.995,0.995,0.03242,0.0375,0.75079,0.00628101,0.00628101,0.00628101
128,8886.47,0.05783,0.06016,0.75724,0.99996,1,0.995,0.995,0.03188,0.03533,0.75068,0.00623074,0.00623074,0.00623074
129,8954.24,0.06126,0.06223,0.75687,0.99996,1,0.995,0.995,0.03223,0.03566,0.75082,0.00618034,0.00618034,0.00618034
130,9022.14,0.05201,0.05579,0.75346,0.99991,1,0.995,0.995,0.02969,0.03386,0.7506,0.00612981,0.00612981,0.00612981
131,9089.59,0.0508,0.05413,0.75454,0.99991,1,0.995,0.995,0.02895,0.0329,0.75057,0.00607916,0.00607916,0.00607916
132,9157.02,0.05482,0.05907,0.75473,0.99991,1,0.995,0.995,0.03004,0.03317,0.75056,0.0060284,0.0060284,0.0060284
133,9225.24,0.05389,0.05819,0.75666,0.99991,1,0.995,0.995,0.02996,0.03419,0.75054,0.00597754,0.00597754,0.00597754
134,9292.65,0.05096,0.05489,0.75667,0.99991,1,0.995,0.995,0.0296,0.03344,0.75054,0.00592657,0.00592657,0.00592657
135,9360.12,0.0514,0.05564,0.75631,0.99991,1,0.995,0.995,0.02885,0.03261,0.75045,0.00587551,0.00587551,0.00587551
136,9427.8,0.05226,0.05529,0.75613,0.99991,1,0.995,0.995,0.02836,0.03178,0.75039,0.00582435,0.00582435,0.00582435
137,9495.42,0.05388,0.05792,0.75489,0.99991,1,0.995,0.995,0.02865,0.03297,0.75047,0.00577311,0.00577311,0.00577311
138,9563.18,0.04984,0.05355,0.75036,0.99991,1,0.995,0.995,0.02769,0.03158,0.75046,0.00572179,0.00572179,0.00572179
139,9630.83,0.04828,0.0529,0.75397,0.99995,1,0.995,0.995,0.02747,0.03145,0.75037,0.0056704,0.0056704,0.0056704
140,9698.37,0.05084,0.0536,0.75732,0.99995,1,0.995,0.995,0.02827,0.03169,0.75038,0.00561894,0.00561894,0.00561894
141,9766.21,0.05051,0.0549,0.75608,0.99995,1,0.995,0.995,0.02914,0.03292,0.75042,0.00556742,0.00556742,0.00556742
142,9834.05,0.04925,0.05385,0.75549,0.99995,1,0.995,0.995,0.02868,0.03201,0.75039,0.00551584,0.00551584,0.00551584
143,9901.75,0.05045,0.05493,0.7567,0.99995,1,0.995,0.995,0.02895,0.03222,0.75038,0.00546421,0.00546421,0.00546421
144,9969.19,0.05311,0.05549,0.7553,0.99995,1,0.995,0.995,0.03062,0.0324,0.75046,0.00541253,0.00541253,0.00541253
145,10036.7,0.04955,0.05397,0.75759,0.99995,1,0.995,0.995,0.03088,0.0333,0.75047,0.00536081,0.00536081,0.00536081
146,10104.7,0.04824,0.0529,0.75335,0.99995,1,0.995,0.995,0.02958,0.03212,0.75041,0.00530906,0.00530906,0.00530906
147,10175.5,0.04683,0.05041,0.75109,0.99995,1,0.995,0.995,0.02951,0.03185,0.75035,0.00525728,0.00525728,0.00525728
148,10245.6,0.04671,0.05062,0.75217,0.99995,1,0.995,0.995,0.02932,0.03166,0.75026,0.00520548,0.00520548,0.00520548
149,10315.6,0.04896,0.05282,0.75455,0.99995,1,0.995,0.995,0.02857,0.03099,0.75023,0.00515366,0.00515366,0.00515366
150,10386.3,0.04608,0.0518,0.75583,0.99995,1,0.995,0.995,0.02867,0.03082,0.75022,0.00510184,0.00510184,0.00510184
151,10457,0.04446,0.0501,0.75398,0.99995,1,0.995,0.995,0.02798,0.03083,0.75016,0.00505,0.00505,0.00505
152,10527.1,0.04556,0.05011,0.7567,0.99995,1,0.995,0.995,0.02889,0.03078,0.75019,0.00499816,0.00499816,0.00499816
153,10597.9,0.04607,0.05093,0.75756,0.99995,1,0.995,0.995,0.0293,0.03088,0.7502,0.00494634,0.00494634,0.00494634
154,10667.7,0.04541,0.05077,0.75543,0.99995,1,0.995,0.995,0.02871,0.03093,0.75014,0.00489452,0.00489452,0.00489452
155,10738.3,0.04431,0.04791,0.75292,0.99995,1,0.995,0.995,0.02804,0.03004,0.75008,0.00484272,0.00484272,0.00484272
156,10808.4,0.04427,0.04915,0.75552,0.99995,1,0.995,0.995,0.02784,0.03001,0.75005,0.00479094,0.00479094,0.00479094
157,10878.2,0.04522,0.05065,0.75442,0.99995,1,0.995,0.995,0.02746,0.02966,0.75001,0.00473919,0.00473919,0.00473919
158,10948.4,0.04312,0.04765,0.75405,0.99995,1,0.995,0.995,0.02686,0.02937,0.74996,0.00468747,0.00468747,0.00468747
159,11018.1,0.04233,0.04627,0.75784,0.99995,1,0.995,0.995,0.02661,0.02902,0.74993,0.00463579,0.00463579,0.00463579
160,11087.9,0.04437,0.04755,0.75566,0.99995,1,0.995,0.995,0.02729,0.0288,0.74997,0.00458416,0.00458416,0.00458416
161,11158.8,0.04579,0.04942,0.7541,1,1,0.995,0.995,0.02779,0.02932,0.74994,0.00453258,0.00453258,0.00453258
162,11228.7,0.04391,0.04776,0.75464,1,1,0.995,0.995,0.02796,0.02908,0.74996,0.00448106,0.00448106,0.00448106
163,11298.5,0.0426,0.04633,0.75347,1,1,0.995,0.995,0.02759,0.02923,0.74993,0.0044296,0.0044296,0.0044296
164,11369.1,0.04349,0.04829,0.7536,1,1,0.995,0.995,0.02725,0.02828,0.7499,0.00437821,0.00437821,0.00437821
165,11438.8,0.04307,0.04795,0.75249,1,1,0.995,0.995,0.02694,0.02863,0.74989,0.00432689,0.00432689,0.00432689
166,11509.5,0.04147,0.04557,0.75372,1,1,0.995,0.995,0.02665,0.02815,0.74986,0.00427565,0.00427565,0.00427565
167,11579.7,0.03983,0.04433,0.75648,1,1,0.995,0.995,0.02688,0.02846,0.74984,0.00422449,0.00422449,0.00422449
168,11650.1,0.04056,0.04465,0.75288,1,1,0.995,0.995,0.027,0.02812,0.74985,0.00417343,0.00417343,0.00417343
169,11720.2,0.04115,0.04484,0.75394,1,1,0.995,0.995,0.02703,0.02797,0.74983,0.00412246,0.00412246,0.00412246
170,11790.6,0.04091,0.04537,0.7579,1,1,0.995,0.995,0.02696,0.02864,0.74979,0.0040716,0.0040716,0.0040716
171,11860.5,0.03956,0.04489,0.75738,1,1,0.995,0.995,0.02676,0.02798,0.74975,0.00402084,0.00402084,0.00402084
