epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1563.29,0.28692,0.19621,0.77972,0.99645,1,0.995,0.92159,0.43724,0.22253,0.82167,0.00990938,0.00990938,0.00990938
63,1588.24,0.28692,0.19517,0.78335,1,0.99881,0.995,0.92719,0.42269,0.21448,0.81781,0.0099064,0.0099064,0.0099064
64,1613.18,0.29136,0.19358,0.77855,0.9997,1,0.995,0.92853,0.42784,0.21549,0.82091,0.00990336,0.00990336,0.00990336
65,1638.36,0.29311,0.19441,0.78062,0.99949,1,0.995,0.92562,0.43199,0.22242,0.82486,0.00990028,0.00990028,0.00990028
66,1663.89,0.28168,0.18862,0.77576,0.99427,1,0.9948,0.91549,0.44092,0.22337,0.8259,0.00989715,0.00989715,0.00989715
67,1689.36,0.28739,0.18987,0.78084,0.99336,1,0.99487,0.92029,0.44088,0.22244,0.82416,0.00989398,0.00989398,0.00989398
68,1714.42,0.27993,0.18729,0.77971,0.9966,1,0.995,0.92991,0.42789,0.21484,0.81799,0.00989075,0.00989075,0.00989075
69,1739.46,0.27455,0.18701,0.77908,0.99302,1,0.995,0.92094,0.44305,0.22829,0.82614,0.00988748,0.00988748,0.00988748
70,1764.55,0.27702,0.1883,0.77795,0.997,1,0.995,0.92987,0.42923,0.22055,0.81957,0.00988416,0.00988416,0.00988416
71,1789.53,0.26691,0.18305,0.77456,0.99635,1,0.9948,0.9267,0.42332,0.2199,0.81803,0.00988079,0.00988079,0.00988079
72,1814.61,0.26378,0.18284,0.77911,0.993,1,0.9948,0.92752,0.42874,0.22065,0.82074,0.00987737,0.00987737,0.00987737
73,1839.68,0.26751,0.18187,0.78014,0.99546,1,0.99457,0.92931,0.4216,0.21796,0.81716,0.00987391,0.00987391,0.00987391
74,1864.59,0.26438,0.18286,0.77685,0.993,1,0.99371,0.92564,0.42988,0.21366,0.81879,0.0098704,0.0098704,0.0098704
75,1889.74,0.26805,0.18617,0.77961,0.99978,1,0.995,0.92663,0.42575,0.21218,0.81841,0.00986684,0.00986684,0.00986684
76,1915.14,0.2621,0.181,0.77457,0.99973,1,0.995,0.92962,0.41421,0.21022,0.81621,0.00986323,0.00986323,0.00986323
77,1940.48,0.26433,0.18139,0.77209,0.99956,1,0.995,0.92215,0.44237,0.21644,0.82268,0.00985958,0.00985958,0.00985958
78,1965.48,0.26307,0.18054,0.77448,0.99002,1,0.99473,0.9314,0.41401,0.21158,0.81803,0.00985588,0.00985588,0.00985588
79,1990.7,0.2658,0.18286,0.77779,0.99984,1,0.995,0.92658,0.42246,0.21194,0.81801,0.00985213,0.00985213,0.00985213
80,2015.72,0.2625,0.18084,0.77605,0.99317,1,0.9949,0.93082,0.41803,0.20539,0.81605,0.00984833,0.00984833,0.00984833
81,2040.66,0.2558,0.17621,0.77519,0.99878,0.99667,0.995,0.92919,0.42327,0.20787,0.81473,0.00984449,0.00984449,0.00984449
82,2065.71,0.25398,0.17631,0.77258,0.99632,1,0.99497,0.93363,0.4052,0.20279,0.81393,0.0098406,0.0098406,0.0098406
83,2090.85,0.25394,0.17509,0.77361,0.99946,1,0.995,0.93213,0.40583,0.20579,0.81419,0.00983666,0.00983666,0.00983666
84,2115.83,0.25584,0.17495,0.77639,0.99649,1,0.99493,0.93591,0.40138,0.20105,0.81469,0.00983267,0.00983267,0.00983267
85,2141.26,0.25966,0.17671,0.77401,0.99537,1,0.99473,0.92721,0.42801,0.20899,0.81788,0.00982864,0.00982864,0.00982864
86,2166.73,0.25343,0.17288,0.77308,0.98681,1,0.99435,0.93743,0.40391,0.20671,0.81466,0.00982456,0.00982456,0.00982456
87,2191.96,0.24591,0.17423,0.77775,0.99982,1,0.995,0.93837,0.40465,0.20619,0.81884,0.00982043,0.00982043,0.00982043
88,2217.08,0.25985,0.18068,0.77293,0.99644,1,0.9949,0.93272,0.40171,0.20935,0.81332,0.00981626,0.00981626,0.00981626
89,2242.28,0.24928,0.17743,0.77055,0.99359,1,0.99467,0.92861,0.41134,0.21293,0.81692,0.00981204,0.00981204,0.00981204
90,2267.23,0.24656,0.17528,0.77136,0.99668,0.99986,0.995,0.9283,0.42402,0.20569,0.82055,0.00980777,0.00980777,0.00980777
91,2292.16,0.24091,0.17269,0.77234,0.99578,0.99667,0.99467,0.93111,0.41047,0.20648,0.82207,0.00980345,0.00980345,0.00980345
92,2317.07,0.24153,0.17104,0.77435,0.99644,1,0.99497,0.93214,0.40887,0.21158,0.81473,0.00979909,0.00979909,0.00979909
93,2341.98,0.23674,0.1706,0.76877,0.98795,1,0.9945,0.93668,0.40274,0.19721,0.81255,0.00979468,0.00979468,0.00979468
94,2367.24,0.23685,0.1675,0.76954,0.98984,1,0.9946,0.92916,0.40008,0.20002,0.81448,0.00979023,0.00979023,0.00979023
